budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime(in_minutes),spoken_languages,status,title,vote_average,vote_count,multigenre,multilanguage,multicompany,multicountry
"$48,000,000.00","Drama, Science Fiction",167,tt0272152,en,K-PAX,12.4,"Intermedia Films, Lawrence Gordon Productions, Pathé Pictures International, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG","Germany, United Kingdom, United States of America",2001-10-22,"$50,315,140.00",120,English,Released,K-PAX,7.1,710,yes,no,yes,yes
"$3,500,000.00","Comedy, Drama, War",651,tt0066026,en,M*A*S*H,7.7,"Twentieth Century Fox Film Corporation, Aspen Productions (I), Ingo Preminger Productions",United States of America,1970-01-24,"$81,600,000.00",116,"English, French, Japanese, Korean",Released,M*A*S*H,6.9,238,yes,yes,yes,no
"$80,000,000.00","Action, Thriller, Crime",9257,tt0257076,en,S.W.A.T.,13.33,"Original Film, Columbia Pictures Corporation, Camelot Pictures, Chris Lee Productions, Illusion Entertainment",United States of America,2003-08-08,"$116,643,346.00",117,"English, Spanish, French",Released,S.W.A.T.,5.8,780,yes,yes,yes,no
"$20,000,000.00",Drama,13960,tt0466856,en,ATL,2.58,Warner Bros.,United States of America,2006-03-31,"$21,170,563.00",105,English,Released,ATL,6.0,33,no,no,no,no
"$50,000,000.00",Comedy,9530,tt0449089,en,RV,11.51,"Columbia Pictures, Intermedia Films, Relativity Media, Red Wagon Entertainment, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, RV Camping Productions Ltd.","Germany, United Kingdom, United States of America",2006-04-28,"$87,528,173.00",99,English,Released,RV,5.6,503,no,no,yes,yes
"$34,000,000.00","Adventure, Animation, Comedy, Family",1273,tt0453556,en,TMNT,11.36,"The Weinstein Company, Imagi Animation Studios, Warner Bros., Mirage Studios, Imagi Production",United States of America,2007-03-23,"$95,608,995.00",90,English,Released,TMNT,6.0,349,yes,no,yes,no
"$180,000,000.00","Animation, Family",10681,tt0910970,en,WALL·E,16.09,"Walt Disney Pictures, Pixar Animation Studios, FortyFour Studios",United States of America,2008-06-22,"$521,311,860.00",98,English,Released,WALL·E,7.8,6439,yes,no,yes,no
"$25,100,000.00","Drama, History",10523,tt1175491,en,W.,8.94,"Ixtlan Productions, Emperor Motion Pictures, Global Entertainment Group",United States of America,2008-10-17,"$29,506,464.00",131,"Spanish, English",Released,W.,6.0,144,yes,yes,yes,no
"$6,000,000.00","Drama, Action, Comedy, Crime",13672,tt1130988,fr,JCVD,6.67,"Gaumont, Samsa Film, Canal+, CinéCinéma, Radio Télévision Belge Francophone (RTBF), Artémis Productions, Bankable, La Sofica Cofinova 4, Film Fund Luxembourg, Cofinova 4","Belgium, France, Luxembourg",2008-06-04,"$276,891.00",96,"English, French",Released,JCVD,6.6,155,yes,yes,yes,yes
"$30,000,000.00","Crime, Drama, Action, Thriller, Science Fiction",42194,tt0411951,en,TEKKEN,12.18,"Namco, Light Song Films","United States of America, Japan, China",2010-03-20,"$967,000.00",92,"Japanese, Chinese, English",Released,TEKKEN,5.2,185,yes,yes,yes,yes
"$58,000,000.00","Action, Adventure, Comedy, Crime, Thriller",39514,tt1245526,en,RED,12.6,"DC Comics, Di Bonaventura Pictures, Summit Entertainment, DC Entertainment",United States of America,2010-10-13,"$71,664,962.00",111,"English, Russian",Released,RED,6.6,2858,yes,yes,yes,no
"$15,000,000.00","Drama, Romance",80591,tt1536048,en,W.E.,4.97,"IM Global, Semtex Films",United Kingdom,2011-09-01,"$868,439.00",119,"Russian, English, French",Released,W.E.,5.8,62,yes,yes,yes,no
"$130,000,000.00","Fantasy, Action, Comedy, Crime",49524,tt0790736,en,R.I.P.D.,9.37,"Universal Pictures, Original Film, Dark Horse Entertainment",United States of America,2013-07-18,"$61,648,500.00",96,English,Released,R.I.P.D.,5.4,1280,yes,no,yes,no
"$5,000,000.00","Drama, Music",111479,tt1786751,en,CBGB,3.71,"Rampart Films, Unclaimed Freight Productions",United States of America,2013-10-11,"$40,400.00",101,"English, German",Released,CBGB,6.5,45,yes,yes,yes,no
"$13,000,000.00","Comedy, Drama, Science Fiction",297222,tt2338151,hi,PK,12.59,"Rajkumar Hirani Films, Vinod Chopra Films",India,2014-12-18,"$120,000,000.00",153,Hindi,Released,PK,7.7,262,yes,no,yes,no
